month,ticker,security,removed,assigned_cik,method,assigned_domestic,assigned_foreign,best_cik,best_name,best_domestic,best_foreign,best_run,class
2011-12-31,AA,Alcoa,true,,none,0,0,4281,ALCOA INC,6,0,1,map_wrong
2011-12-31,ACE,Chubb,true,,none,0,0,20171,CHUBB CORP,6,0,1,map_wrong
2011-12-31,AET,Aetna,true,,none,0,0,1122304,AETNA INC /PA/,6,0,1,map_wrong
2011-12-31,AGN,Allergan,true,,none,0,0,850693,ALLERGAN INC,6,0,1,map_wrong
2011-12-31,AIV,Aimco,true,,none,0,0,926660,AIMCO PROPERTIES LP,6,0,1,map_wrong
2011-12-31,AN,AutoNation,true,,none,0,0,350698,"AUTONATION, INC.",6,0,1,map_wrong
2011-12-31,ANR,Alpha Natural Resources,true,,none,0,0,1301063,"ALPHA NATURAL RESOURCES, INC.",7,0,3,map_wrong
2011-12-31,BBBY,Bed Bath & Beyond,true,,none,0,0,886158,BED BATH & BEYOND INC,6,0,4,map_wrong
2011-12-31,BHI,Baker Hughes,true,,none,0,0,808362,BAKER HUGHES INC,7,0,2,map_wrong
2011-12-31,BLK,BlackRock,false,2012383,company_tickers,0,0,1364742,BLACKROCK INC.,6,0,1,map_wrong
2011-12-31,BRCM,Broadcom Corporation,true,,none,0,0,1054374,BROADCOM CORP,6,0,1,map_wrong
2011-12-31,CA,CA Technologies,true,,none,0,0,356028,"CA, INC.",6,0,1,map_wrong
2011-12-31,CBE,Cooper Industries,true,,none,0,0,1141982,COOPER INDUSTRIES PLC,6,0,1,map_wrong
2011-12-31,CCE,Coca-Cola Enterprises,true,,none,0,0,21344,COCA COLA CO,6,0,2,map_wrong
2011-12-31,CEG,Constellation Energy Group,true,1868275,company_tickers,0,0,1004440,CONSTELLATION ENERGY GROUP INC,6,0,2,map_wrong
2011-12-31,CI,Cigna,false,1739940,company_tickers,0,0,701221,CIGNA CORP,6,0,1,map_wrong
2011-12-31,CNX,Consol Energy,true,,none,0,0,1070412,CONSOL ENERGY INC,6,0,2,map_wrong
2011-12-31,DD,DuPont,true,1666700,company_tickers,0,0,30554,DUPONT E I DE NEMOURS & CO,6,0,1,map_wrong
2011-12-31,DELL,Dell,true,1571996,company_tickers,0,0,826083,DELL INC,6,0,1,map_wrong
2011-12-31,DIS,Walt Disney Company (The),false,1744489,company_tickers,0,0,1001039,WALT DISNEY CO/,6,0,2,map_wrong
2011-12-31,DNB,Dun & Bradstreet,true,1799208,name_match,0,0,1115222,DUN & BRADSTREET CORP/NW,6,0,3,map_wrong
2011-12-31,DOW,Dow Chemical Company,true,1751788,company_tickers,0,0,29915,DOW CHEMICAL CO /DE/,6,0,2,map_wrong
2011-12-31,DTV,DirecTV,true,,none,0,0,1465112,DIRECTV,9,0,1,map_wrong
2011-12-31,ESRX,Express Scripts,true,,none,0,0,885721,EXPRESS SCRIPTS INC,6,0,2,map_wrong
2011-12-31,ETN,Eaton Corporation,false,1551182,company_tickers,0,0,31277,EATON CORP,6,0,1,map_wrong
