ticker,cik,start,end,source_url,note
AA,4281,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000004281&type=10-K,ALCOA INC; renamed Arconic Inc 2016-11 and Howmet Aerospace 2020-04 under the same CIK; name match refused because Alcoa Corp (1675149) also normalises to ALCOA
ARNC,4281,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000004281&type=10-K,ARCONIC INC. 2016-11 to 2020-03 is the Alcoa Inc registrant renamed; the 2020 spin-off Arconic Corp (1790982) was never a member under ARNC
AAL,6201,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000006201&type=10-K,AMR CORP renamed AMERICAN AIRLINES GROUP INC. 2013-12; membership carries the security name only
ACE,896159,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000896159&type=10-K,ACE LTD; renamed CHUBB LTD 2016-01 after buying Chubb Corp; Wikipedia lists the removed ticker under the new name so the search found the old Chubb (20171)
CB,20171,,2015-12-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000020171&type=10-K,CHUBB CORP was the CB registrant until ACE Ltd closed the acquisition 2016-01-14 and took the symbol; today's CB (896159) is ACE Ltd renamed
ADT,1546640,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001546640&type=10-K,ADT CORP 2012-2016 (spun from Tyco); the 2018 ADT Inc IPO is a different registrant and never a member
AET,1122304,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001122304&type=10-K,AETNA INC /PA/; the /PA/ suffix defeated the exact-name matcher
AGN,850693,,2015-02-28,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000850693&type=10-K,ALLERGAN INC until Actavis plc closed the acquisition 2015-03-17
AGN,1578845,2015-03-31,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001578845&type=10-K,ACTAVIS PLC renamed ALLERGAN PLC 2015-06 and took the AGN symbol 2015-03-23; the second AGN membership interval
AIV,922864,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000922864&type=10-K,APARTMENT INVESTMENT & MANAGEMENT CO; Wikipedia's Aimco is the brand and the search found the operating partnership AIMCO Properties LP (926660) instead
AN,350698,,,"https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000350698&type=10-K","AUTONATION, INC.; the ticker AN was Amoco before 1998 and the name matcher took the older membership row"
ANR,1301063,,,"https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001301063&type=10-K","ALPHA NATURAL RESOURCES, INC."
APA,6769,,2021-02-28,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000006769&type=10-K,APACHE CORP until the holding-company reorganisation of 2021-03-01; APA Corp (1841666) files after
AVGO,1441634,,2016-01-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001441634&type=10-K,AVAGO TECHNOLOGIES LTD until it closed the Broadcom Corp acquisition 2016-02-01 and became Broadcom Ltd
AVGO,1649338,2016-02-29,2018-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001649338&type=10-K,BROADCOM LTD until the redomiciliation to Broadcom Inc (1730168) 2018-04-04
BBBY,886158,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000886158&type=10-K,BED BATH & BEYOND INC
BCR,9892,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000009892&type=10-K,BARD C R INC /NJ/; the SEC spells the name surname-first
BEAM,789073,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000789073&type=10-K,FORTUNE BRANDS INC renamed BEAM INC 2011-10 under the same CIK; Wikipedia lists the removed ticker as Suntory Global Spirits
BG,1144519,,2023-11-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001144519&type=10-K,BUNGE LTD until the redomiciliation to Bunge Global SA (1996862) 2023-11-01
BHI,808362,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000808362&type=10-K,BAKER HUGHES INC until the GE merger 2017-07; BKR is the new registrant (1701605)
BLK,1364742,,2024-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001364742&type=10-K,BLACKROCK INC. until the 2024-10-01 holding-company reorganisation; today's BlackRock (2012383) files after
BRCM,1054374,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001054374&type=10-K,BROADCOM CORP; three Broadcom registrants exist and the name matcher refused the ambiguity
CA,356028,,,"https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000356028&type=10-K","CA, INC. (CA Technologies)"
CBE,1141982,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001141982&type=10-K,COOPER INDUSTRIES PLC
CCE,804055,,2010-09-30,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000804055&type=10-K,COCA COLA ENTERPRISES INC until Coca-Cola bought its North American business 2010-10-02
