month,dropped,tickers
2010-01-31,29,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SII SLE SPLS STI SUN
2010-02-28,29,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SII SLE SPLS STI SUN
2010-03-31,29,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SII SLE SPLS STI SUN
2010-04-30,29,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SII SLE SPLS STI SUN
2010-05-31,29,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SII SLE SPLS STI SUN
2010-06-30,29,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SII SLE SPLS STI SUN
2010-07-31,29,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SII SLE SPLS STI SUN
2010-08-31,28,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SLE SPLS STI SUN
2010-09-30,28,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SLE SPLS STI SUN
2010-10-31,28,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SLE SPLS STI SUN
2010-11-30,28,AVB CAM COL CPWR CSC DV EA EMC EP FOXA GENZ GR HAR KG MHS MI NSM NYX PCL PCS POM S SE SHLD SLE SPLS STI SUN
2010-12-31,29,AVB CAM COL CPWR CSC DV EA EMC EP EXC FOXA GENZ GR HAR MHS MI NFX NSM NYX PCL PCS POM S SE SHLD SLE SPLS STI SUN
2011-01-31,30,AVB CAM COL CPWR CSC DV EA EMC EP EXC FOXA GENZ GR HAR MHS MI MMI NFX NSM NYX PCL PCS POM S SE SHLD SLE SPLS STI SUN
