month,n_members,assets,equity,liabilities,current_assets,current_liabilities,cash,shares,net_income,revenue,cogs,gross_profit,operating_income,cfo,capex,depreciation,shares_wavg,pretax_income,equity_fy,market_cap
2010-01-31,496,365,364,220,306,306,345,145,29,28,23,10,21,29,29,20,265,19,29,206
2010-02-28,497,368,367,222,308,308,349,161,268,236,149,63,183,270,228,182,271,174,267,217
2010-03-31,498,370,368,222,309,309,350,168,322,284,179,82,220,323,274,223,274,217,321,217
2010-04-30,498,372,371,224,312,312,352,170,325,287,182,86,223,326,277,224,275,221,324,222
2010-05-31,498,378,376,228,316,316,357,179,333,294,187,89,228,333,283,230,282,227,332,226
2010-06-30,498,378,376,229,315,315,357,179,335,296,191,91,229,335,286,232,283,229,334,228
2010-07-31,498,401,399,245,335,335,380,189,344,305,197,92,234,344,294,237,295,237,343,239
2010-08-31,498,462,460,285,387,387,440,218,354,316,208,98,239,354,303,245,347,243,353,263
2010-09-30,498,473,471,290,398,398,451,224,359,321,212,100,243,359,308,248,355,246,358,267
2010-10-31,498,481,478,293,405,405,459,213,362,324,215,102,246,362,311,251,357,248,361,268
2010-11-30,498,486,483,297,410,410,464,211,367,328,217,104,250,367,315,255,361,254,366,264
2010-12-31,498,487,484,297,411,411,465,212,373,332,222,108,255,373,320,260,363,259,372,265
2011-01-31,498,487,485,298,413,413,464,210,374,334,223,109,256,374,321,261,363,260,373,264
2011-02-28,498,488,487,301,414,414,465,232,424,376,250,128,292,423,368,300,366,304,424,275
2011-03-31,498,489,489,302,414,414,466,245,464,410,275,142,320,463,404,334,372,341,463,281
2011-04-30,498,489,489,303,413,413,466,242,468,412,277,145,323,467,408,337,371,343,467,281
2011-05-31,498,490,491,303,414,414,468,244,471,416,278,146,327,471,412,339,371,347,470,277
2011-06-30,498,487,488,300,413,413,465,250,474,419,283,150,331,474,416,339,369,351,473,279
2011-07-31,498,489,491,299,416,416,466,250,472,419,282,150,329,473,413,337,369,345,473,278
2011-08-31,498,493,495,300,420,420,469,256,479,426,288,155,335,480,420,342,375,352,480,283
2011-09-30,498,494,496,300,420,420,470,258,480,427,289,156,335,481,421,343,375,353,481,283
2011-10-31,498,493,493,296,419,419,471,233,482,429,291,158,337,482,423,346,368,355,483,280
