ticker,wikipedia_date_added,crosscheck_first_seen,start_used,verdict
NRG,2010-01-29,2010-01-29,2010-01-29,date_added kept: cross-check agrees it was not in before
BRK.B,2010-02-16,2010-02-16,2010-02-16,date_added kept: cross-check agrees it was not in before
OKE,2010-03-15,1996-01-02,2010-03-15,date_added kept: cross-check agrees it was not in before
JCI,2010-08-27,1996-01-02,1900-01-01,date_added rejected: cross-check has the ticker before it
FCX,2011-07-01,1996-01-02,1900-01-01,date_added rejected: cross-check has the ticker before it
HUM,2012-12-10,1996-01-02,1900-01-01,date_added rejected: cross-check has the ticker before it
GOOG,2014-04-03,2014-04-03,2014-04-03,date_added kept: cross-check agrees it was not in before
D,2016-11-30,1996-01-02,1900-01-01,date_added rejected: cross-check has the ticker before it
SRE,2017-03-17,1998-06-29,1998-06-29,date_added rejected: cross-check has the ticker before it
TROW,2019-07-29,1999-10-13,1999-10-13,date_added rejected: cross-check has the ticker before it
SW,2024-07-08,2024-07-08,2024-07-08,date_added kept: cross-check agrees it was not in before
