crosscheck_ticker,wikipedia_ticker,months,first,last
EQR,VMRK,199,2010-01-31,2026-07-31
BK,BNY,196,2010-01-31,2026-04-30
MMC,MRSH,192,2010-01-31,2025-12-31
ABC,COR,163,2010-01-31,2023-07-31
PKI,RVTY,160,2010-01-31,2023-04-30
ANTM,ELV,149,2010-01-31,2022-05-31
BLL,BALL,148,2010-01-31,2022-04-30
COG,CTRA,141,2010-01-31,2021-09-30
LB,BBWI,139,2010-01-31,2021-07-31
MYL,VTRS,130,2010-01-31,2020-10-31
CTL,LUMN,128,2010-01-31,2020-08-31
UTX,RTX,123,2010-01-31,2020-03-31
TMK,GL,115,2010-01-31,2019-07-31
HRS,LHX,113,2010-01-31,2019-05-31
KDP,DPS,102,2010-01-31,2018-06-30
WYND,WYN,100,2010-01-31,2018-04-30
AABA,YHOO,89,2010-01-31,2017-05-31
ARNC,AA,82,2010-01-31,2016-10-31
DXC,CSC,71,2010-01-31,2015-11-30
BTUUQ,BTU,56,2010-01-31,2014-08-31
VIAV,JDSU,47,2010-01-31,2013-11-30
LDOS,SAI,44,2010-01-31,2013-08-31
FI,FISV,29,2023-06-30,2025-10-31
HSH,SLE,29,2010-01-31,2012-05-31
SUNEQ,WFR,23,2010-01-31,2011-11-30
ANRZQ,ANR,16,2011-06-30,2012-09-30
QLGC,NE,12,2010-01-31,2010-12-31
EKDKQ,EK,11,2010-01-31,2010-11-30
