ticker,side,months,first,last
PSKY,only_wikipedia,187,2010-01-31,2025-07-31
DOC,only_wikipedia,170,2010-01-31,2024-02-29
GEN,only_wikipedia,154,2010-01-31,2022-10-31
BBT,only_crosscheck,119,2010-01-31,2019-11-30
CBS,only_crosscheck,119,2010-01-31,2019-11-30
J,only_wikipedia,119,2010-01-31,2019-11-30
JEC,only_crosscheck,119,2010-01-31,2019-11-30
TFC,only_wikipedia,119,2010-01-31,2019-11-30
HCP,only_crosscheck,118,2010-01-31,2019-10-31
SYMC,only_crosscheck,118,2010-01-31,2019-10-31
BHGE,only_crosscheck,117,2010-01-31,2019-09-30
WRK,only_crosscheck,108,2015-07-31,2024-06-30
LIN,only_wikipedia,106,2010-01-31,2018-10-31
PX,only_crosscheck,105,2010-01-31,2018-09-30
BHI,only_wikipedia,90,2010-01-31,2017-06-30
LDOS,only_wikipedia,85,2019-08-31,2026-08-31
SAI,only_crosscheck,85,2019-08-31,2026-08-31
CSC,only_crosscheck,78,2017-04-30,2023-09-30
DXC,only_wikipedia,78,2017-04-30,2023-09-30
IR,only_wikipedia,78,2020-03-31,2026-08-31
TYC,only_wikipedia,73,2010-08-31,2016-08-31
ACE,only_wikipedia,72,2010-01-31,2015-12-31
MWV,only_crosscheck,66,2010-01-31,2015-06-30
KORS,only_crosscheck,58,2013-11-30,2018-08-31
PEAK,only_crosscheck,52,2019-11-30,2024-02-29
DPS,only_crosscheck,51,2022-06-30,2026-08-31
KDP,only_wikipedia,51,2022-06-30,2026-08-31
PARA,only_crosscheck,42,2022-02-28,2025-07-31
AA,only_crosscheck,41,2016-11-30,2020-03-31
ARNC,only_wikipedia,41,2016-11-30,2020-03-31
TMUS,only_crosscheck,40,2010-01-31,2013-04-30
PCS,only_wikipedia,39,2010-01-31,2013-03-31
NLOK,only_crosscheck,36,2019-11-30,2022-10-31
ATGE,only_crosscheck,33,2010-01-31,2012-09-30
DV,only_wikipedia,33,2010-01-31,2012-09-30
KFT,only_wikipedia,33,2010-01-31,2012-09-30
MDLZ,only_crosscheck,33,2010-01-31,2012-09-30
BKR,only_wikipedia,27,2017-07-31,2019-09-30
CPRI,only_wikipedia,26,2013-11-30,2015-12-31
VIAC,only_crosscheck,26,2019-12-31,2022-01-31
RSHCQ,only_crosscheck,18,2010-01-31,2011-06-30
RSH,only_wikipedia,17,2010-01-31,2011-05-31
CB,only_crosscheck,6,2010-01-31,2010-06-30
CCEP,only_crosscheck,4,2016-01-31,2016-04-30
Q,only_crosscheck,4,2011-03-31,2017-10-31
IQV,only_crosscheck,3,2017-08-31,2017-10-31
BDK,only_crosscheck,2,2010-01-31,2010-02-28
DISCA,only_wikipedia,2,2010-01-31,2010-02-28
PBG,only_crosscheck,2,2010-01-31,2010-02-28
ACS,only_crosscheck,1,2010-01-31,2010-01-31
AET,only_wikipedia,1,2018-11-30,2018-11-30
BCR,only_wikipedia,1,2017-12-31,2017-12-31
BNI,only_crosscheck,1,2010-01-31,2010-01-31
COL,only_wikipedia,1,2018-11-30,2018-11-30
COTY,only_wikipedia,1,2016-09-30,2016-09-30
COV,only_wikipedia,1,2011-02-28,2011-02-28
CPWR,only_crosscheck,1,2011-12-31,2011-12-31
CSRA,only_crosscheck,1,2015-11-30,2015-11-30
DO,only_crosscheck,1,2016-09-30,2016-09-30
EW,only_wikipedia,1,2011-03-31,2011-03-31
HP,only_wikipedia,1,2010-02-28,2010-02-28
ITT,only_crosscheck,1,2011-10-31,2011-10-31
MFE,only_crosscheck,1,2011-02-28,2011-02-28
MPC,only_wikipedia,1,2011-06-30,2011-06-30
PSX,only_wikipedia,1,2012-04-30,2012-04-30
QEP,only_wikipedia,1,2010-06-30,2010-06-30
REGN,only_wikipedia,1,2013-04-30,2013-04-30
STR,only_crosscheck,1,2010-06-30,2010-06-30
SVU,only_crosscheck,1,2012-04-30,2012-04-30
TEG,only_wikipedia,1,2015-06-30,2015-06-30
URBN,only_wikipedia,1,2010-01-31,2010-01-31
WPX,only_wikipedia,1,2011-12-31,2011-12-31
XYL,only_wikipedia,1,2011-10-31,2011-10-31
