ticker,months_missing
EA,199
AVB,198
CTRA,196
K,191
IPG,190
WBA,187
HES,186
JNPR,186
DFS,184
MRO,178
CMA,173
PXD,172
SEE,167
CTXS,153
DISCA,147
PBCT,147
CERN,146
GPS,145
XLNX,145
LEG,143
FLIR,136
VAR,135
TIF,132
ETFC,129
NBL,129
JWN,125
AGN,124
RTN,123
HOLX,121
STI,119
VIAB,119
CELG,118
TSS,116
APC,115
LLL,114
RHT,114
NLSN,111
ALXN,110
FOXA,110
SRCL,107
CA,106
XL,104
KSU,103
DPS,102
MON,101
WYN,100
ATVI,98
CHK,98
NFX,98
PDCO,98
SNI,98
ANSS,97
BCR,96
DISCK,92
DOW,92
SPLS,92
WFM,91
BBBY,90
BHI,90
RAI,90
MJN,89
TGNA,89
YHOO,89
DNB,87
SWN,87
FTR,86
LLTC,86
SE,85
STJ,84
LM,83
HBI,81
DO,80
EMC,80
ADS,78
FBHS,78
GAS,78
TE,78
ARG,76
CCE,76
SNDK,76
TWC,76
CAM,75
DISH,75
POM,74
BRCM,73
PCL,73
PCP,73
TYC,73
ACE,72
WLTW,72
ALTR,71
CSC,71
HCBK,70
SIAL,70
FLT,69
XEC,69
HSP,68
PLL,67
CVC,66
DTV,66
FDO,66
NE,66
SCG,66
TEG,66
LO,65
DRE,63
WIN,63
AVP,62
CFN,62
DNR,62
HOT,62
QEP,61
SIVB,60
SWY,60
CXO,59
INFO,57
BTU,56
GGP,56
JOY,56
ABMD,55
RDC,55
FRX,54
X,54
IGT,53
TWTR,53
BEAM,52
FRC,52
LSI,52
CTLT,51
LIFE,48
COV,47
JCP,47
JDSU,47
NYX,46
DELL,45
BMC,44
ESV,44
SAI,44
ADT,43
APOL,42
FOX,42
S,42
ARNC,41
HNZ,41
CVH,40
DF,40
FL,40
PCS,39
BIG,37
FII,36
HAR,36
HFC,36
LVLT,35
MNK,35
RRD,35
TIE,35
DV,33
KFT,33
KRFT,33
LXK,33
MXIM,32
SHLD,32
SUN,32
COL,31
PGN,30
CDAY,29
NVLS,29
PETM,29
SLE,29
CSRA,28
MHS,27
WPX,27
CEG,26
ENDP,26
DAY,24
GMCR,24
AKS,23
CPWR,23
MWW,23
WFR,23
JNS,22
CEPH,21
DWDP,21
NSM,20
MI,18
MEE,17
Q,17
ANR,16
MMI,16
WCG,16
NOVL,15
SBNY,15
RSH,14
AYE,13
CBE,13
MFE,13
CPGX,12
MDP,12
BXLT,11
EK,11
ODP,11
PTV,10
MIL,6
STR,5
XTO,5
BJS,3
CMCSK,3
AET,1
RX,1
SII,1
