month,n_members,n_priced,n_fwd_return,gap_pct
2010-01-31,496,343,343,30.85
2010-02-28,497,346,346,30.38
2010-03-31,498,347,347,30.32
2010-04-30,498,347,347,30.32
2010-05-31,498,347,347,30.32
2010-06-30,498,349,347,29.92
2010-07-31,498,349,348,29.92
2010-08-31,498,348,348,30.12
2010-09-30,498,348,348,30.12
2010-10-31,498,348,348,30.12
2010-11-30,498,349,349,29.92
2010-12-31,498,349,348,29.92
2011-01-31,498,349,349,29.92
2011-02-28,498,350,349,29.72
2011-03-31,498,351,351,29.52
2011-04-30,498,351,351,29.52
2011-05-31,498,351,351,29.52
2011-06-30,498,352,351,29.32
2011-07-31,498,353,352,29.12
2011-08-31,498,353,353,29.12
2011-09-30,498,354,354,28.92
2011-10-31,498,355,355,28.71
2011-11-30,498,355,355,28.71
2011-12-31,498,358,358,28.11
2012-01-31,498,358,358,28.11
2012-02-29,498,358,358,28.11
2012-03-31,498,359,359,27.91
2012-04-30,498,360,360,27.71
2012-05-31,498,360,360,27.71
2012-06-30,498,362,362,27.31
2012-07-31,498,362,362,27.31
2012-08-31,498,363,363,27.11
2012-09-30,498,365,365,26.71
2012-10-31,498,366,366,26.51
2012-11-30,498,366,366,26.51
2012-12-31,498,369,369,25.9
2013-01-31,498,371,371,25.5
2013-02-28,498,372,372,25.3
2013-03-31,498,372,372,25.3
2013-04-30,498,373,373,25.1
2013-05-31,498,374,374,24.9
2013-06-30,498,375,374,24.7
2013-07-31,498,376,376,24.5
2013-08-31,498,376,376,24.5
2013-09-30,498,378,378,24.1
2013-10-31,498,379,379,23.9
2013-11-30,498,380,380,23.69
2013-12-31,498,380,380,23.69
2014-01-31,498,381,381,23.49
2014-02-28,498,381,381,23.49
2014-03-31,498,381,381,23.49
2014-04-30,499,382,382,23.45
2014-05-31,499,384,384,23.05
2014-06-30,499,384,383,23.05
2014-07-31,499,386,386,22.65
2014-08-31,500,386,386,22.8
2014-09-30,500,387,387,22.6
2014-10-31,500,387,387,22.6
2014-11-30,500,386,386,22.8
2014-12-31,500,386,386,22.8
2015-01-31,500,388,388,22.4
2015-02-28,500,388,388,22.4
2015-03-31,501,392,392,21.76
2015-04-30,501,393,393,21.56
2015-05-31,501,393,393,21.56
2015-06-30,501,394,393,21.36
2015-07-31,501,399,398,20.36
2015-08-31,501,399,398,20.36
2015-09-30,504,401,400,20.44
2015-10-31,504,401,401,20.44
2015-11-30,504,403,403,20.04
2015-12-31,503,405,405,19.48
2016-01-31,503,405,405,19.48
2016-02-29,503,407,407,19.09
2016-03-31,503,409,409,18.69
2016-04-30,504,410,410,18.65
2016-05-31,504,415,415,17.66
2016-06-30,504,416,415,17.46
2016-07-31,504,419,418,16.87
2016-08-31,504,419,419,16.87
2016-09-30,504,422,422,16.27
2016-10-31,504,422,422,16.27
2016-11-30,504,421,421,16.47
2016-12-31,504,422,422,16.27
2017-01-31,504,423,423,16.07
2017-02-28,504,424,424,15.87
2017-03-31,504,426,426,15.48
2017-04-30,504,428,428,15.08
2017-05-31,504,428,428,15.08
2017-06-30,504,429,428,14.88
2017-07-31,504,432,432,14.29
2017-08-31,504,432,429,14.29
2017-09-30,504,433,433,14.09
2017-10-31,504,434,434,13.89
2017-11-30,504,435,435,13.69
2017-12-31,504,435,435,13.69
2018-01-31,504,436,436,13.49
2018-02-28,504,436,436,13.49
2018-03-31,504,438,438,13.1
2018-04-30,504,439,439,12.9
2018-05-31,504,439,439,12.9
