ticker,yahoo,reason
ABK,ABK,no data (retried twice)
ABMD,ABMD,no data (retried twice)
ACAS,ACAS,no data (retried twice)
ACE,ACE,no data (retried twice)
ADS,ADS,no data (retried twice)
AGN,AGN,no data (retried twice)
AKS,AKS,no data (retried twice)
ALTR,ALTR,no data (retried twice)
ALXN,ALXN,no data (retried twice)
ANR,ANR,no data (retried twice)
ANSS,ANSS,no data (retried twice)
APOL,APOL,no data (retried twice)
ARG,ARG,no data (retried twice)
ARNC,ARNC,no data (retried twice)
ATVI,ATVI,no data (retried twice)
AVP,AVP,no data (retried twice)
AYE,AYE,no data (retried twice)
BCR,BCR,no data (retried twice)
BHI,BHI,no data (retried twice)
BIG,BIG,no data (retried twice)
BJS,BJS,no data (retried twice)
BRCM,BRCM,no data (retried twice)
BS,BS,no data (retried twice)
BXLT,BXLT,no data (retried twice)
CA,CA,no data (retried twice)
CDAY,CDAY,no data (retried twice)
CELG,CELG,no data (retried twice)
CEPH,CEPH,no data (retried twice)
CERN,CERN,no data (retried twice)
CFN,CFN,no data (retried twice)
CHK,CHK,no data (retried twice)
CMA,CMA,no data (retried twice)
CMCSK,CMCSK,no data (retried twice)
COV,COV,no data (retried twice)
CPGX,CPGX,no data (retried twice)
CSC,CSC,no data (retried twice)
CTLT,CTLT,no data (retried twice)
CTRA,CTRA,no data (retried twice)
CTX,CTX,no data (retried twice)
CTXS,CTXS,no data (retried twice)
CVC,CVC,no data (retried twice)
CVH,CVH,no data (retried twice)
CXO,CXO,no data (retried twice)
DAY,DAY,no data (retried twice)
DF,DF,no data (retried twice)
DFS,DFS,no data (retried twice)
DISCA,DISCA,no data (retried twice)
DISCK,DISCK,no data (retried twice)
DISH,DISH,no data (retried twice)
DJ,DJ,no data (retried twice)
DNB,DNB,no data (retried twice)
DNR,DNR,no data (retried twice)
DO,DO,no data (retried twice)
DPS,DPS,no data (retried twice)
DRE,DRE,no data (retried twice)
DTV,DTV,no data (retried twice)
DWDP,DWDP,no data (retried twice)
EK,EK,no data (retried twice)
ENDP,ENDP,no data (retried twice)
ESV,ESV,no data (retried twice)
ETFC,ETFC,no data (retried twice)
FBHS,FBHS,no data (retried twice)
FDC,FDC,no data (retried twice)
FDO,FDO,no data (retried twice)
FII,FII,no data (retried twice)
FL,FL,no data (retried twice)
FLIR,FLIR,no data (retried twice)
FLT,FLT,no data (retried twice)
FNM,FNM,no data (retried twice)
FRC,FRC,no data (retried twice)
FRE,FRE,no data (retried twice)
FRX,FRX,no data (retried twice)
FTR,FTR,no data (retried twice)
GAS,GAS,no data (retried twice)
GGP,GGP,no data (retried twice)
GMCR,GMCR,no data (retried twice)
GPS,GPS,no data (retried twice)
GRA,GRA,no data (retried twice)
HBI,HBI,no data (retried twice)
HCBK,HCBK,no data (retried twice)
HES,HES,no data (retried twice)
HFC,HFC,no data (retried twice)
HNG,HNG,no data (retried twice)
HNZ,HNZ,no data (retried twice)
HOLX,HOLX,no data (retried twice)
HPH,HPH,no data (retried twice)
HSP,HSP,no data (retried twice)
IGT,IGT,no data (retried twice)
IPG,IPG,no data (retried twice)
JCP,JCP,no data (retried twice)
JDSU,JDSU,no data (retried twice)
JNPR,JNPR,no data (retried twice)
JNS,JNS,no data (retried twice)
JNY,JNY,no data (retried twice)
JOY,JOY,no data (retried twice)
JWN,JWN,no data (retried twice)
K,K,no data (retried twice)
KFT,KFT,no data (retried twice)
KRFT,KRFT,no data (retried twice)
KSE,KSE,no data (retried twice)
KSU,KSU,no data (retried twice)
LDW,LDW,no data (retried twice)
LEH,LEH,no data (retried twice)
LLL,LLL,no data (retried twice)
LLTC,LLTC,no data (retried twice)
LM,LM,no data (retried twice)
LO,LO,no data (retried twice)
LSI,LSI,no data (retried twice)
LVLT,LVLT,no data (retried twice)
LXK,LXK,no data (retried twice)
MDP,MDP,no data (retried twice)
MFE,MFE,no data (retried twice)
MIL,MIL,no data (retried twice)
MJN,MJN,no data (retried twice)
MNK,MNK,no data (retried twice)
MON,MON,no data (retried twice)
MRO,MRO,no data (retried twice)
MWW,MWW,no data (retried twice)
MXIM,MXIM,no data (retried twice)
NBL,NBL,no data (retried twice)
NCR,NCR,no data (retried twice)
NLSN,NLSN,no data (retried twice)
NOVL,NOVL,no data (retried twice)
NVLS,NVLS,no data (retried twice)
NYX,NYX,no data (retried twice)
ODP,ODP,no data (retried twice)
OMX,OMX,no data (retried twice)
