fy,member_years,with_float,pct_covered,with_ratio,low,high,float_scale,near_split,near_1000,over_100x,other,excluded
2010,509,469,92.1,282,2,1,2,0,0,0,1,1
2011,515,495,96.1,344,3,3,5,0,0,0,1,1
2012,516,497,96.3,356,0,3,3,0,0,0,0,0
2013,516,500,96.9,368,0,0,0,0,0,0,0,0
2014,513,481,93.8,365,0,2,1,0,0,0,1,1
2015,526,488,92.8,381,2,1,2,0,0,0,1,1
2016,531,498,93.8,409,0,1,0,0,0,0,1,1
2017,532,504,94.7,424,1,0,1,0,0,0,0,0
2018,526,497,94.5,421,2,3,5,0,0,0,0,0
2019,523,494,94.5,429,2,2,4,0,0,0,0,0
2020,520,499,96.0,446,1,0,1,0,0,0,0,0
2021,521,501,96.2,453,1,0,1,0,0,0,0,0
2022,520,491,94.4,460,2,1,3,0,0,0,0,0
2023,516,497,96.3,474,3,1,4,0,0,0,0,0
2024,521,503,96.5,478,2,1,3,0,0,0,0,0
2025,522,498,95.4,485,0,1,1,0,0,0,0,0
2026,516,57,11.0,55,0,0,0,0,0,0,0,0
