month,n_members,revenue_tag,revenue_derived_bank,revenue_missing,financials_missing
2010-12-31,498,345,16,137,13
2011-12-31,498,445,19,34,3
2012-12-31,498,447,19,32,5
2013-12-31,498,452,19,27,5
2014-12-31,500,459,18,23,5
2015-12-31,503,456,19,28,3
2016-12-31,504,463,20,21,2
2017-12-31,504,459,20,25,4
2018-12-31,504,463,19,22,3
2019-12-31,504,479,17,8,0
2020-12-31,504,474,15,15,3
2021-12-31,504,484,15,4,0
2022-12-31,502,483,14,4,0
2023-12-31,502,482,13,7,0
2024-12-31,503,487,10,6,1
2025-12-31,503,489,10,4,0
