ticker,sector,months,mean_gap,crossings,replica_op,naive_op,operating_income_fallback,log_pretax_over_ni_plus_tax,interest_over_ni_plus_tax,log_equity_fy_over_equity,driver
AIV,Real Estate,36,0.767181443812858,35,0.0337348326592293,0.4155399984524348,0.0,1.8391766970574246,1.1544676644052774,0.037029729525876014,pretax_income
THC,Health Care,36,0.49917465270398786,13,0.22580645161290322,0.5861767279090113,0.0,0.16211884947643512,2.804733727810651,0.09697583105392057,interest add-back
FTR,Communication Services,36,0.36845293737377227,0,0.04468327848522437,0.21916931460640238,0.0,0.016375982830064705,4.169231057553552,0.03315814877368848,interest add-back
HCBK,Financials,34,0.35830337795542416,0,0.06436691789441013,0.2222279621876381,0.0,0.0,2.4525183037688567,0.008313094280776812,interest add-back
SWY,Consumer Staples,24,0.34655036248888077,11,0.34257596311948113,0.39711055705454423,1.0,,0.331565475343005,0.04285028374861542,pretax_income (missing; operating income used)
WIN,Communication Services,27,0.315256913015883,2,0.24339246922519914,1.1592477981432991,0.0,0.002606592427240802,2.330723340790455,0.1506457604463464,interest add-back
IRM,Real Estate,36,0.3070999321868154,0,0.2594552384364475,0.4628864553975709,0.16666666666666666,0.02945085340851605,1.1263484410574112,0.07259951553959125,interest add-back
TYC,Industrials,36,0.30601837671756804,12,0.13191306219066065,0.20604725670804966,0.0,1.111041521900801,0.15128593040847202,0.058443408391109175,pretax_income
AES,Utilities,36,0.29819808387205393,11,0.2420323325635104,0.44780600461893766,0.0,0.8299554739867828,3.2428884026258205,0.030009233330190288,interest add-back
SEE,Materials,36,0.28132467688018237,11,0.12792455546756892,0.4097617162191347,0.0,0.11286725332157983,1.0767215568862276,0.020643817678606558,interest add-back
LVLT,Communication Services,14,0.2794890547073022,3,0.0374037403740374,0.14018544711614017,0.0,0.0,2.7478991596638656,0.06347713770164912,interest add-back
AMT,Real Estate,36,0.27661454978834127,7,0.19627041049217472,0.3208003356188364,0.0,0.059902502281241894,0.6538474107379298,0.03261665147041863,interest add-back
SLM,Financials,16,0.2645586204103811,0,0.28320158102766796,0.7899209486166008,0.0,0.00209132177999761,1.783426183844011,0.017241806434506103,interest add-back
MAS,Industrials,36,0.2315818494689552,12,0.6222943722943723,0.8095238095238095,0.0,0.12500954491975896,0.6135770234986945,0.1836211021360402,interest add-back
MSI,Information Technology,36,0.22938246320766298,0,0.31292702924296256,0.31128723694998633,0.0,0.00525395254115795,0.0,0.13060747092969294,equity
CMS,Utilities,36,0.21750508167832122,0,0.1986376021798365,0.31809643080776456,0.0,0.002747254475138702,0.5598349381017882,0.04299117341412652,interest add-back
TGT,Consumer Staples,36,0.2122008152023988,0,0.26098449667785956,0.26055079785595464,0.0,0.0,0.3628746374476313,0.012368514276219437,interest add-back
OI,Materials,36,0.21079595850330624,0,0.23008241758241757,0.37293956043956045,0.0,0.11625980611586202,0.8493150684931506,0.16013242913219497,interest add-back
WY,Real Estate,36,0.19875796626839173,0,0.10786240786240786,0.19361179361179362,0.0,0.0022753138371355394,0.7909090909090909,0.04278034060885447,interest add-back
