concept,fy,ciks,main_tag,pct_of_universe
assets,2009,358,Assets,42.6
assets,2010,614,Assets,73.1
assets,2011,687,Assets,81.8
assets,2012,692,Assets,82.4
assets,2013,693,Assets,82.5
assets,2014,701,Assets,83.5
assets,2015,692,Assets,82.4
assets,2016,668,Assets,79.5
assets,2017,672,Assets,80.0
assets,2018,662,Assets,78.8
assets,2019,649,Assets,77.3
assets,2020,652,Assets,77.6
assets,2021,650,Assets,77.4
assets,2022,640,Assets,76.2
assets,2023,639,Assets,76.1
assets,2024,637,Assets,75.8
assets,2025,591,Assets,70.4
assets,2026,35,Assets,4.2
capex,2009,306,PaymentsToAcquirePropertyPlantAndEquipment,36.4
capex,2010,531,PaymentsToAcquirePropertyPlantAndEquipment,63.2
capex,2011,598,PaymentsToAcquirePropertyPlantAndEquipment,71.2
capex,2012,599,PaymentsToAcquirePropertyPlantAndEquipment,71.3
capex,2013,600,PaymentsToAcquirePropertyPlantAndEquipment,71.4
capex,2014,611,PaymentsToAcquirePropertyPlantAndEquipment,72.7
capex,2015,600,PaymentsToAcquirePropertyPlantAndEquipment,71.4
capex,2016,584,PaymentsToAcquirePropertyPlantAndEquipment,69.5
capex,2017,585,PaymentsToAcquirePropertyPlantAndEquipment,69.6
capex,2018,575,PaymentsToAcquirePropertyPlantAndEquipment,68.5
capex,2019,549,PaymentsToAcquirePropertyPlantAndEquipment,65.4
capex,2020,543,PaymentsToAcquirePropertyPlantAndEquipment,64.6
capex,2021,543,PaymentsToAcquirePropertyPlantAndEquipment,64.6
capex,2022,538,PaymentsToAcquirePropertyPlantAndEquipment,64.0
capex,2023,529,PaymentsToAcquirePropertyPlantAndEquipment,63.0
capex,2024,528,PaymentsToAcquirePropertyPlantAndEquipment,62.9
capex,2025,493,PaymentsToAcquirePropertyPlantAndEquipment,58.7
capex,2026,31,PaymentsToAcquirePropertyPlantAndEquipment,3.7
cash,2009,339,CashAndCashEquivalentsAtCarryingValue,40.4
cash,2010,589,CashAndCashEquivalentsAtCarryingValue,70.1
cash,2011,656,CashAndCashEquivalentsAtCarryingValue,78.1
cash,2012,662,CashAndCashEquivalentsAtCarryingValue,78.8
cash,2013,661,CashAndCashEquivalentsAtCarryingValue,78.7
cash,2014,667,CashAndCashEquivalentsAtCarryingValue,79.4
cash,2015,659,CashAndCashEquivalentsAtCarryingValue,78.5
cash,2016,634,CashAndCashEquivalentsAtCarryingValue,75.5
cash,2017,642,CashAndCashEquivalentsAtCarryingValue,76.4
cash,2018,642,CashAndCashEquivalentsAtCarryingValue,76.4
cash,2019,640,CashAndCashEquivalentsAtCarryingValue,76.2
cash,2020,645,CashAndCashEquivalentsAtCarryingValue,76.8
cash,2021,644,CashAndCashEquivalentsAtCarryingValue,76.7
cash,2022,637,CashAndCashEquivalentsAtCarryingValue,75.8
cash,2023,637,CashAndCashEquivalentsAtCarryingValue,75.8
cash,2024,635,CashAndCashEquivalentsAtCarryingValue,75.6
cash,2025,589,CashAndCashEquivalentsAtCarryingValue,70.1
cash,2026,35,CashAndCashEquivalentsAtCarryingValue,4.2
cfo,2009,358,NetCashProvidedByUsedInOperatingActivities,42.6
cfo,2010,613,NetCashProvidedByUsedInOperatingActivities,73.0
cfo,2011,686,NetCashProvidedByUsedInOperatingActivities,81.7
cfo,2012,691,NetCashProvidedByUsedInOperatingActivities,82.3
cfo,2013,690,NetCashProvidedByUsedInOperatingActivities,82.1
cfo,2014,699,NetCashProvidedByUsedInOperatingActivities,83.2
cfo,2015,687,NetCashProvidedByUsedInOperatingActivities,81.8
cfo,2016,667,NetCashProvidedByUsedInOperatingActivities,79.4
cfo,2017,670,NetCashProvidedByUsedInOperatingActivities,79.8
cfo,2018,661,NetCashProvidedByUsedInOperatingActivities,78.7
cfo,2019,648,NetCashProvidedByUsedInOperatingActivities,77.1
cfo,2020,651,NetCashProvidedByUsedInOperatingActivities,77.5
cfo,2021,651,NetCashProvidedByUsedInOperatingActivities,77.5
cfo,2022,641,NetCashProvidedByUsedInOperatingActivities,76.3
cfo,2023,639,NetCashProvidedByUsedInOperatingActivities,76.1
cfo,2024,636,NetCashProvidedByUsedInOperatingActivities,75.7
cfo,2025,591,NetCashProvidedByUsedInOperatingActivities,70.4
cfo,2026,35,NetCashProvidedByUsedInOperatingActivities,4.2
cogs,2009,207,CostOfGoodsSold,24.6
cogs,2010,370,CostOfGoodsSold,44.0
cogs,2011,431,CostOfGoodsSold,51.3
cogs,2012,432,CostOfGoodsSold,51.4
cogs,2013,437,CostOfGoodsSold,52.0
cogs,2014,438,CostOfGoodsSold,52.1
cogs,2015,429,CostOfGoodsSold,51.1
cogs,2016,414,CostOfGoodsSold,49.3
cogs,2017,424,CostOfGoodsSold,50.5
cogs,2018,418,CostOfGoodsAndServicesSold,49.8
cogs,2019,426,CostOfGoodsAndServicesSold,50.7
cogs,2020,422,CostOfGoodsAndServicesSold,50.2
cogs,2021,416,CostOfGoodsAndServicesSold,49.5
cogs,2022,408,CostOfGoodsAndServicesSold,48.6
cogs,2023,412,CostOfGoodsAndServicesSold,49.0
cogs,2024,414,CostOfGoodsAndServicesSold,49.3
cogs,2025,371,CostOfGoodsAndServicesSold,44.2
cogs,2026,33,CostOfGoodsAndServicesSold,3.9
current_assets,2009,298,AssetsCurrent,35.5
current_assets,2010,515,AssetsCurrent,61.3
current_assets,2011,585,AssetsCurrent,69.6
current_assets,2012,589,AssetsCurrent,70.1
current_assets,2013,587,AssetsCurrent,69.9
current_assets,2014,592,AssetsCurrent,70.5
current_assets,2015,587,AssetsCurrent,69.9
current_assets,2016,564,AssetsCurrent,67.1
current_assets,2017,564,AssetsCurrent,67.1
current_assets,2018,555,AssetsCurrent,66.1
current_assets,2019,544,AssetsCurrent,64.8
current_assets,2020,545,AssetsCurrent,64.9
