concept,fy,n_missing,tag,n_ciks,example
cogs,2020,230,Revenues,135,GENWORTH FINANCIAL INC
cogs,2020,230,CostsAndExpenses,106,GRAHAM HOLDINGS CO
cogs,2020,230,TreasuryStockValueAcquiredCostMethod,90,WILLIAMS SONOMA INC
cogs,2020,230,RevenueFromContractWithCustomerExcludingAssessedTax,80,NEWS CORP
cogs,2020,230,OtherCostAndExpenseOperating,53,SEMPRA ENERGY
cogs,2020,230,PaymentsOfDebtIssuanceCosts,52,"DIAMONDBACK ENERGY, INC."
cogs,2020,230,PaymentsOfDebtExtinguishmentCosts,34,PENN NATIONAL GAMING INC
cogs,2020,230,AvailableForSaleDebtSecuritiesAmortizedCostBasis,30,M&T BANK CORP
cogs,2020,230,PaymentsOfFinancingCosts,27,GRAHAM HOLDINGS CO
cogs,2020,230,RevenueFromContractWithCustomerIncludingAssessedTax,24,APACHE CORP
cogs,2020,230,AmortizationOfFinancingCostsAndDiscounts,23,TENET HEALTHCARE CORP
cogs,2020,230,RealEstateInvestmentPropertyAtCost,20,"PROLOGIS, INC."
cogs,2020,230,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditNetOfTax,18,CMS ENERGY CORP
cogs,2020,230,IncreaseDecreaseInDeferredPolicyAcquisitionCosts,17,AMERICAN INTERNATIONAL GROUP INC
cogs,2020,230,OperatingCostsAndExpenses,17,FOX CORP
cogs,2020,230,FuelCosts,17,FEDEX CORP
cogs,2020,230,DeferredPolicyAcquisitionCosts,16,CHUBB LTD
cogs,2020,230,AmortizationOfFinancingCosts,16,SOUTHWESTERN ENERGY CO
cogs,2020,230,DirectCostsOfLeasedAndRentedPropertyOrEquipment,15,FEDERAL REALTY INVESTMENT TRUST
cogs,2020,230,CostOfGoodsAndServicesSold,14,AMERICAN TOWER CORP /MA/
