concept,fy,n_missing,tag,n_ciks,example
revenue,2011,51,TreasuryStockValueAcquiredCostMethod,19,CHIPOTLE MEXICAN GRILL INC
revenue,2011,51,CostsAndExpenses,14,FREEPORT MCMORAN COPPER & GOLD INC
revenue,2011,51,OtherCostAndExpenseOperating,9,PROGRESS ENERGY INC
revenue,2011,51,BrokerageCommissionsRevenue,6,E TRADE FINANCIAL CORP
revenue,2011,51,PaymentsOfFinancingCosts,6,AES CORP
revenue,2011,51,AmortizationOfFinancingCostsAndDiscounts,5,TESORO CORP /NEW/
revenue,2011,51,ExciseAndSalesTaxes,5,EXXON MOBIL CORP
revenue,2011,51,PaymentsOfDebtIssuanceCosts,5,TENET HEALTHCARE CORP
revenue,2011,51,AvailableForSaleSecuritiesAmortizedCost,4,M&T BANK CORP
revenue,2011,51,RefiningAndMarketingRevenue,4,HOLLY CORP
revenue,2011,51,ElectricUtilityRevenue,4,FIRSTENERGY CORP
revenue,2011,51,GainsLossesOnSalesOfOtherRealEstate,4,KEYCORP /NEW/
revenue,2011,51,RefiningAndMarketingCosts,4,TESORO CORP /NEW/
revenue,2011,51,OperatingLeasesIncomeStatementLeaseRevenue,3,WELLS FARGO & CO/MN
revenue,2011,51,OperatingCostsAndExpenses,3,TESORO CORP /NEW/
revenue,2011,51,OtherComprehensiveIncomeReclassificationOfDefinedBenefitPlansNetGainLossRecognizedInNetPeriodicBenefitCostNetOfTax,3,NEWMONT MINING CORP /DE/
revenue,2011,51,CostOfPurchasedPower,3,FIRSTENERGY CORP
revenue,2011,51,UtilityRevenue,3,ENTERGY CORP /DE/
revenue,2011,51,FuelCosts,3,FIRSTENERGY CORP
revenue,2011,51,GainLossOnSalesOfLoansNet,3,KEYCORP /NEW/
