year,filings,fetched,long_enough,median_words,paired
2009,29,29,29,30685.0,0
2010,414,413,413,33231.0,28
2011,631,631,631,32091.0,390
2012,688,688,688,32569.5,619
2013,701,701,701,32985.0,676
2014,701,701,701,33449.0,690
2015,704,704,704,33980.5,684
2016,682,682,682,34243.0,671
2017,675,675,675,34895.0,653
2018,675,675,675,35742.0,663
2019,667,667,667,36043.0,657
2020,657,657,657,36426.0,648
2021,651,651,651,37385.0,643
2022,651,651,651,36297.0,643
2023,641,641,641,36003.0,640
2024,640,640,640,36245.0,631
2025,636,636,636,36203.5,630
2026,535,535,535,37103.0,532
