ticker,wiki_name,sec_name,yf_name,overlap,exchange,currency,quote_type,first_price,member_start,member_end,level,n_levels,flag,reason
AA,Alcoa,ALCOA INC|ARCONIC INC.|HOWMET AEROSPACE INC.,Alcoa Corporation,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2016-10-31,1.02173418820396,8,false,""
AAL,American Airlines Group,AMERICAN AIRLINES GROUP INC.|AMR CORP,American Airlines Group Inc.,1.0,NMS,USD,EQUITY,2008-01-02,2015-03-23,2024-09-22,1.006286059481851,10,false,""
AAP,Advance Auto Parts,ADVANCE AUTO PARTS INC,"Advance Auto Parts, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2015-07-08,2023-08-24,1.0052744558456668,9,false,""
ABK,Ambac Financial,AMBAC FINANCIAL GROUP INC|OCTAVE SPECIALTY GROUP INC,945779,,YHD,,MUTUALFUND,,2000-12-05,2008-06-09,,,false,""
ABMD,Abiomed,ABIOMED INC,,,,,NONE,,2018-05-31,2022-12-21,,,false,""
ABS,Albertsons,,3305691,,YHD,,MUTUALFUND,,1900-01-01,2006-06-01,,,false,""
ACAS,American Capital,,823224,,YHD,,MUTUALFUND,,1900-01-01,2009-03-02,,,false,""
ACE,Chubb,ACE LTD|CHUBB LTD,1280525,,YHD,,MUTUALFUND,,1900-01-01,2016-01-18,,,false,""
ADCT,ADC Telecommunications,,ADC Therapeutics SA,0.5,NYQ,USD,EQUITY,,1900-01-01,2007-07-01,,,false,""
ADS,Alliance Data Systems,"ALLIANCE DATA SYSTEMS CORP|BREAD FINANCIAL HOLDINGS, INC.",,,,,NONE,,2013-12-23,2020-06-21,,,false,""
ADT,ADT,ADT CORP,ADT Inc.,1.0,NYQ,USD,EQUITY,,2012-10-01,2016-05-02,,,false,""
AET,Aetna,AETNA INC /PA/,Aetna Inc.,1.0,YHD,,MUTUALFUND,2008-01-02,1900-01-01,2018-12-02,1.0283281073797317,9,false,""
AGN,Allergan,ALLERGAN INC|ACTAVIS PLC|ALLERGAN PLC|WARNER CHILCOTT LTD,,,,,NONE,,1900-01-01,2020-05-11,,,false,""
AIV,Aimco,APARTMENT INVESTMENT & MANAGEMENT CO,Apartment Investment and Management Company,1.0,NYQ,USD,EQUITY,2008-01-02,1900-01-01,2020-12-20,1.008479525599484,11,false,""
AKS,AK Steel,AK STEEL HOLDING CORP,,,,,,,2008-07-01,2011-12-15,,,false,no_info
ALK,Alaska Air Group,"ALASKA AIR GROUP INC|ALASKA AIR GROUP, INC.","Alaska Air Group, Inc.",1.0,NYQ,USD,EQUITY,2008-01-02,2016-05-13,2023-12-17,0.9972569203063477,7,false,""
